id,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap,usr,workload_type,user_type,system_state,io_pressure,process_pressure,memory_pressure,cpu_pressure,read_write_ratio,swap_pressure,sys_activity_ratio
639,37.62351371,51.7711385,2542.690217,138,89,0.8,3.4,26534400,4149600,,677,1057779,90,mixed,admin,high,11010714624,2.72,0.001917404,1098.695652,0.735849057,1560.146018,27.76923077
5250,40.45232228,-0.037721895,2367.979469,177,90,9.58,26.75,62874100,4463600,1.4,139,1093538,60,io_heavy,researcher,low,28064483276,256.265,0.01,967.0833333,40,7810.985714,38.04918033
7708,3.948994568,2.375908005,3160.467854,340,214,1,2.4,33829900,15723500,1.5,445,985458,82,io_heavy,student,medium,53192443265,2.4,0.003363229,1265.2,1,2209.547085,38.10843373
2981,0.281729487,-0.708921084,175.7251433,10,15,0.2,0.2,547800,4688600,1,7854,1874812,98,mixed,admin,critical,256841508,0.04,0.000127307,90.5,0,238.6775302,1.828282828
7739,5.224094821,0.297105365,2159.530585,175,146,1,0.4,18195800,27700800,3.6,175,1323394,95,io_heavy,student,critical,50403821664,0.4,0.020454545,475.8695652,2.5,7519.284091,22.80208333
3469,0.514963048,-0.527181536,2766.04123,153,109,0.4,0.6,1697500,11558800,2,4655,1731736,90,mixed,admin,high,1962106300,0.24,0.000429553,958.3333333,1,371.9364261,31.59340659
2130,18.76635874,3.358153204,3412.062382,188,94,13.4,37.4,20837000,3891300,2,271,1080566,61,cpu_heavy,researcher,low,8108301810,501.16,0.007352941,1138.666667,4.5,3972.669118,55.09677419
2603,5.322020057,1.509961923,2965.271709,458,401,2.4,0.8,26071400,20210500,2.7,217,1006899,87,io_heavy,student,medium,52691602970,1.92,0.012385321,800.2702703,3,4618.802752,33.64772727
7355,22.39910979,12.92008392,5016.860691,465,418,7.6,15.4,18856800,16659200,1.5,136,1090643,66,cpu_heavy,researcher,low,31413920256,117.04,0.010948905,2028,1.5,7960.89781,75.67164179
3964,1.82041035,-0.568033979,1157.044511,94,45,0.6,2.2,2946900,1583800,1.5,652,1069200,94,mixed,admin,high,466730022,1.32,0.00229709,474.4,1,1637.366003,12.48421053
3686,18.09241423,14.81747565,905.2511644,96,78,1.6,1.4,6977700,8814300,1,265,991232,89,mixed,admin,medium,6150354111,2.24,0.003759398,467,1.1875,3726.43609,10.37777778
2915,3.731488841,0.312081954,4736.776569,295,160,2.4,6.2,13219000,8445800,1.7,353,1030331,83,cpu_heavy,researcher,medium,11164503020,14.88,0.00480226,1747.407407,3,2910.539548,56.16666667
390,55.38439997,63.63043362,3844.959231,332,238,1.4,1.6,53602900,44913200,3,150,1035609,66,io_heavy,student,low,2.40748E+11,2.24,0.01986755,973.25,0.861538462,6858.337748,58.10447761
8152,8.419194657,8.577253202,1586.573563,173,148,0.4,0.4,42209800,19225500,1,146,1084374,87,io_heavy,student,medium,81150450990,0.16,0.006802721,804,1,7376.693878,18.27272727
